date_time,rating,q_time,role
2019-11-23 16:45,2700,570,D
2019-11-23 17:49,2700,495,D
2019-11-23 18:13,2723,580,D
2019-11-23 18:38,2751,645,D
2019-11-23 19:10,2778,530,D
2019-11-23 19:38,2755,366,D
2019-11-23 20:03,2781,610,D
2019-11-25 16:50,2795,556,D
2019-11-25 19:50,2822,330,D
2019-11-25 20:09,2845,540,D
2019-11-25 20:33,2870,420,D
2019-11-25 21:04,2895,360,D
2019-11-25 21:20,2873,360,D
2019-11-25 21:48,2897,440,D
2019-11-25 15:44,3023,360,D
2019-12-14 12:21,2007,430,D
2019-12-14 12:39,1857,500,D
2019-12-14 12:57,1724,570,D
2019-12-14 13:16,1693,600,D
2019-12-14 13:44,1597,480,D
2019-12-14 14:02,1532,533,D
2019-12-14 14:37,1479,391,D
2019-12-14 15:02,1438,511,D
2019-12-14 15:26,1394,550,D
2019-12-14 15:49,1435,433,D
2019-12-14 17:42,1482,376,D
2019-12-14 18:14,1446,446,D
2019-12-14 18:32,1483,492,D
2019-12-14 19:00,1454,255,D
2019-12-15 13:09,1482,376,D
2019-12-15 13:34,1455,393,D
2019-12-16 10:24,1472,194,D
2019-12-16 10:37,1507,364,D
2019-12-16 11:06,1485,360,D
2019-12-16 19:05,1454,491,D
2019-12-16 19:24,1483,512,D
2019-12-16 19:55,1470,490,D
2019-12-16 22:05,1501,527,D
2019-12-16 22:24,1485,331,D
2019-12-16 23:08,1544,551,D
2019-12-16 23:24,1574,485,D
2019-12-17 12:28,1602,586,D
2019-12-17 12:51,1633,503,D
2019-12-17 18:09,1671,507,D
2019-12-17 18:21,1671,423,D
2019-12-17 19:16,1650,420,D
2019-12-17 20:46,1584,432,D
2019-12-17 21:08,1619,239,D
2019-12-17 21:37,1608,567,D
2019-12-17 22:09,1623,540,D
2019-12-17 22:57,1605,373,D
2019-12-20 15:20,2260,15,T
2019-12-20 15:38,2284,24,T
2019-12-20 16:01,2199,41,T
2019-12-20 16:24,2264,31,T
